Syria	https://download.geofabrik.de/asia/syria-latest.osm.pbf	(68 MB)	
Taiwan	https://download.geofabrik.de/asia/taiwan-latest.osm.pbf	(289 MB)	
Tajikistan	https://download.geofabrik.de/asia/tajikistan-latest.osm.pbf	(44.6 MB)	
Thailand	https://download.geofabrik.de/asia/thailand-latest.osm.pbf	(290 MB)	
Turkmenistan	https://download.geofabrik.de/asia/turkmenistan-latest.osm.pbf	(20.7 MB)	7
Uzbekistan	https://download.geofabrik.de/asia/uzbekistan-latest.osm.pbf	(91 MB)	
Vietnam	https://download.geofabrik.de/asia/vietnam-latest.osm.pbf	(300 MB)	
Yemen	https://download.geofabrik.de/asia/yemen-latest.osm.pbf	(40.3 MB)	
American Oceania	https://download.geofabrik.de/australia-oceania/american-oceania-latest.osm.pbf	(5.0 MB)	0
Australia	https://download.geofabrik.de/australia-oceania/australia-latest.osm.pbf	(851 MB)	
Cook Islands	https://download.geofabrik.de/australia-oceania/cook-islands-latest.osm.pbf	(907 KB)	0
Fiji	https://download.geofabrik.de/australia-oceania/fiji-latest.osm.pbf	(16.2 MB)	8
Île de Clipperton	https://download.geofabrik.de/australia-oceania/ile-de-clipperton-latest.osm.pbf	(42.3 KB)	0
Kiribati	https://download.geofabrik.de/australia-oceania/kiribati-latest.osm.pbf	(2.3 MB)	0
Marshall Islands	https://download.geofabrik.de/australia-oceania/marshall-islands-latest.osm.pbf	(1.0 MB)	0
Micronesia	https://download.geofabrik.de/australia-oceania/micronesia-latest.osm.pbf	(1.8 MB)	0
Nauru	https://download.geofabrik.de/australia-oceania/nauru-latest.osm.pbf	(253 KB)	0
New Caledonia	https://download.geofabrik.de/australia-oceania/new-caledonia-latest.osm.pbf	(12.8 MB)	6
New Zealand	https://download.geofabrik.de/australia-oceania/new-zealand-latest.osm.pbf	(364 MB)	
Niue	https://download.geofabrik.de/australia-oceania/niue-latest.osm.pbf	(404 KB)	0
Palau	https://download.geofabrik.de/australia-oceania/palau-latest.osm.pbf	(792 KB)	0
Papua New Guinea	https://download.geofabrik.de/australia-oceania/papua-new-guinea-latest.osm.pbf	(48.8 MB)	
Pitcairn Islands	https://download.geofabrik.de/australia-oceania/pitcairn-islands-latest.osm.pbf	(108 KB)	0
Polynésie française (French Polynesia)	https://download.geofabrik.de/australia-oceania/polynesie-francaise-latest.osm.pbf	(14.1 MB)	0
Samoa	https://download.geofabrik.de/australia-oceania/samoa-latest.osm.pbf	(2.9 MB)	0
Solomon Islands	https://download.geofabrik.de/australia-oceania/solomon-islands-latest.osm.pbf	(9.7 MB)	0
Tokelau	https://download.geofabrik.de/australia-oceania/tokelau-latest.osm.pbf	(134 KB)	0
Tonga	https://download.geofabrik.de/australia-oceania/tonga-latest.osm.pbf	(3.5 MB)	0
Tuvalu	https://download.geofabrik.de/australia-oceania/tuvalu-latest.osm.pbf	(340 KB)	0
Vanuatu	https://download.geofabrik.de/australia-oceania/vanuatu-latest.osm.pbf	(7.5 MB)	0
Wallis et Futuna	https://download.geofabrik.de/australia-oceania/wallis-et-futuna-latest.osm.pbf	(596 KB)	0
Bahamas	https://download.geofabrik.de/central-america/bahamas-latest.osm.pbf	(13.0 MB)	0
Belize	https://download.geofabrik.de/central-america/belize-latest.osm.pbf	(17.2 MB)	4
Costa Rica	https://download.geofabrik.de/central-america/costa-rica-latest.osm.pbf	(35.4 MB)	
Cuba	https://download.geofabrik.de/central-america/cuba-latest.osm.pbf	(53 MB)	
El Salvador	https://download.geofabrik.de/central-america/el-salvador-latest.osm.pbf	(32.6 MB)	
Guatemala	https://download.geofabrik.de/central-america/guatemala-latest.osm.pbf	(122 MB)	
Haiti and Dominican Republic	https://download.geofabrik.de/central-america/haiti-and-domrep-latest.osm.pbf	(81 MB)	
Honduras	https://download.geofabrik.de/central-america/honduras-latest.osm.pbf	(67 MB)	
Jamaica	https://download.geofabrik.de/central-america/jamaica-latest.osm.pbf	(35.3 MB)	
Nicaragua	https://download.geofabrik.de/central-america/nicaragua-latest.osm.pbf	(54 MB)	
Panama	https://download.geofabrik.de/central-america/panama-latest.osm.pbf	(28.9 MB)	
Albania	https://download.geofabrik.de/europe/albania-latest.osm.pbf	(48.1 MB)	
Andorra	https://download.geofabrik.de/europe/andorra-latest.osm.pbf	(3.2 MB)	0
Austria	https://download.geofabrik.de/europe/austria-latest.osm.pbf	(746 MB)	
Azores	https://download.geofabrik.de/europe/azores-latest.osm.pbf	(16.2 MB)	0
Belarus	https://download.geofabrik.de/europe/belarus-latest.osm.pbf	(315 MB)	
Belgium	https://download.geofabrik.de/europe/belgium-latest.osm.pbf	(632 MB)	
Bosnia-Herzegovina	https://download.geofabrik.de/europe/bosnia-herzegovina-latest.osm.pbf	(145 MB)	
Bulgaria	https://download.geofabrik.de/europe/bulgaria-latest.osm.pbf	(150 MB)	
Croatia	https://download.geofabrik.de/europe/croatia-latest.osm.pbf	(180 MB)	
Cyprus	https://download.geofabrik.de/europe/cyprus-latest.osm.pbf	(32.9 MB)	
Czech Republic	https://download.geofabrik.de/europe/czech-republic-latest.osm.pbf	(861 MB)	
Denmark	https://download.geofabrik.de/europe/denmark-latest.osm.pbf	(450 MB)	
Estonia	https://download.geofabrik.de/europe/estonia-latest.osm.pbf	(111 MB)	
Faroe Islands	https://download.geofabrik.de/europe/faroe-islands-latest.osm.pbf	(7.3 MB)	0
Finland	https://download.geofabrik.de/europe/finland-latest.osm.pbf	(653 MB)	
France	https://download.geofabrik.de/europe/france-latest.osm.pbf	(4.5 GB)	
Georgia	https://download.geofabrik.de/europe/georgia-latest.osm.pbf	(90 MB)	
Germany	https://download.geofabrik.de/europe/germany-latest.osm.pbf	(4.3 GB)	
Greece	https://download.geofabrik.de/europe/greece-latest.osm.pbf	(311 MB)	
Guernsey and Jersey	https://download.geofabrik.de/europe/guernsey-jersey-latest.osm.pbf	(3.6 MB)	0
Hungary	https://download.geofabrik.de/europe/hungary-latest.osm.pbf	(284 MB)	
Iceland	https://download.geofabrik.de/europe/iceland-latest.osm.pbf	(59 MB)	
Ireland and Northern Ireland	https://download.geofabrik.de/europe/ireland-and-northern-ireland-latest.osm.pbf	(359 MB)	
Isle of Man	https://download.geofabrik.de/europe/isle-of-man-latest.osm.pbf	(5.2 MB)	0
Italy	https://download.geofabrik.de/europe/italy-latest.osm.pbf	(2.0 GB)	
Kosovo	https://download.geofabrik.de/europe/kosovo-latest.osm.pbf	(28.6 MB)	
Latvia	https://download.geofabrik.de/europe/latvia-latest.osm.pbf	(126 MB)	
Liechtenstein	https://download.geofabrik.de/europe/liechtenstein-latest.osm.pbf	(3.1 MB)	0
Lithuania	https://download.geofabrik.de/europe/lithuania-latest.osm.pbf	(204 MB)	
Luxembourg	https://download.geofabrik.de/europe/luxembourg-latest.osm.pbf	(43.2 MB)	
